pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
GEMP25078,7,0,1980,MADAN BHAIYA,Madhya_Pradesh,JANJGIR,JNP,BLD,65460,M,2,2,1,TRUE,TRUE,24.26,41230,15.28,,1,2
GEMP25078,6,0,1977,MADAN BHAIYA,Madhya_Pradesh,JANJGIR,BLD,"",118665,M,1,2,1,FALSE,FALSE,48.08,13569,5.5,,1,2
GEMP25084,7,0,1980,GOVINDRAM MIRI,Madhya_Pradesh,SARANGARH,JNP,BLD,50857,M,2,2,1,TRUE,TRUE,20.01,31150,12.25,,1,2
GEMP25084,6,0,1977,GOVIND RAM MIRI,Madhya_Pradesh,SARANGARH,BLD,"",116030,M,1,2,1,FALSE,FALSE,52.77,12176,5.54,,1,2
GEMP25085,7,0,1980,GODIL PRASAD ANURAGI,Madhya_Pradesh,BILASPUR,INC(I),INC,161065,M,1,2,1,FALSE,FALSE,60.43,79079,29.67,,1,2
GEMP25085,6,0,1977,GONDIL PRASAD ANURAGI,Madhya_Pradesh,SARANGARH,INC,"",103854,M,2,2,1,FALSE,FALSE,47.23,0,0,,1,2
GEMP25088,7,0,1980,PURUSHOTTAM KAUSHIK,Madhya_Pradesh,MAHASAMUND,JNP(S),BLD,58876,M,3,2,1,TRUE,TRUE,17.13,50159,14.59,,1,2
GEMP25088,6,0,1977,PURUSHOTTAM LAL KAUSHIK,Madhya_Pradesh,RAIPUR,BLD,"",186296,M,1,2,1,FALSE,FALSE,60.83,83612,27.3,,1,2
GEMP25089,7,0,1980,BRIJLAL VERMA,Madhya_Pradesh,MAHASAMUND,JNP,BLD,67201,M,2,2,1,TRUE,TRUE,19.55,8325,2.42,,1,2
GEMP25089,6,0,1977,BRIJLAL VERMA,Madhya_Pradesh,MAHASAMUND,BLD,"",182054,M,1,2,1,FALSE,FALSE,59.92,79527,26.18,,1,2
GEMP25095,7,0,1980,AGHANSINGH BHAOSINGH,Madhya_Pradesh,KANKER,JNP,BLD,67448,M,2,2,1,TRUE,TRUE,25.74,50749,19.37,,1,2
GEMP25095,6,0,1977,AGHANSINGH,Madhya_Pradesh,KANKER,BLD,"",151392,M,1,2,1,FALSE,FALSE,59.47,53777,21.13,,1,2
GEMP25097,7,0,1980,DRIGPALSHAH KESHRI SHAH,Madhya_Pradesh,BASTAR,JNP(S),BLD,34418,M,3,2,1,TRUE,TRUE,19.79,14048,8.08,,1,2
GEMP25097,6,0,1977,DRIGPAL SHAH KESHRI SHAH,Madhya_Pradesh,BASTAR,BLD,"",101007,M,1,2,1,FALSE,FALSE,53.47,50054,26.5,,1,2
GEMP25102,7,0,1980,MOHAN BHAIYA,Madhya_Pradesh,DURG,JNP,BLD,70904,M,2,2,1,TRUE,TRUE,19.1,39574,10.66,,1,2
GEMP25102,6,0,1977,MOHAN BHAIYA,Madhya_Pradesh,DURG,BLD,"",177922,M,1,2,1,FALSE,FALSE,52.91,51575,15.34,,1,2
GEMP25108,7,0,1980,MADAN TIWARI,Madhya_Pradesh,RAJNANDGAON,JNP(S),BLD,18303,M,3,2,1,TRUE,TRUE,6.73,2960,1.09,,1,2
GEMP25108,6,0,1977,MADAN TIWARY,Madhya_Pradesh,RAJNANDGAON,BLD,"",178476,M,1,2,1,FALSE,FALSE,64.73,87933,31.89,,1,2
GEMP25121,7,0,1980,SHYAMLAL DHURVE,Madhya_Pradesh,MANDLA,JNP,BLD,75536,M,2,2,1,TRUE,TRUE,39.25,59875,31.11,,1,2
GEMP25121,6,0,1977,SHYAMLAL DHURVE,Madhya_Pradesh,MANDLA,BLD,"",126646,M,1,2,1,FALSE,FALSE,70.17,72799,40.33,,1,2
GEMP25128,7,0,1980,NIRMALACHAND JAIN,Madhya_Pradesh,SEONI,JNP,BLD,94666,M,2,2,1,TRUE,TRUE,32.4,73790,25.26,,1,2
GEMP25128,6,0,1977,NIRMAL CHANDRA JAIN,Madhya_Pradesh,SEONI,BLD,"",157123,M,1,2,1,FALSE,FALSE,58.21,53561,19.84,,1,2
GEMP25132,7,0,1980,PRATUL CHANDRA DWIVEDI,Madhya_Pradesh,CHHINDWARA,JNP,BLD,77648,M,2,2,0,TRUE,FALSE,27.11,54227,18.93,,,2
GEMP25132,6,0,1977,PRATULCHANDRA DWIVEDI,Madhya_Pradesh,CHHINDWARA,BLD,"",97027,M,2,2,0,FALSE,FALSE,42.75,72877,32.11,,,2
GEMP25133,7,0,1980,SUBHASHCHANDRA AHUJA,Madhya_Pradesh,BETUL,JNP,BLD,75494,M,2,2,1,TRUE,TRUE,30.1,47830,19.07,,1,2
GEMP25133,6,0,1977,SUBHASH CHANDRA AHUJA,Madhya_Pradesh,BETUL,BLD,"",108660,M,1,2,1,FALSE,FALSE,49.32,26923,12.22,,1,2
GEMP25141,7,0,1980,SHANKARDAYAL SHARMA,Madhya_Pradesh,BHOPAL,INC(I),INC,168059,M,1,3,2,FALSE,FALSE,43.53,13602,3.52,,2,3
GEMP25141,6,0,1977,SHANKAR DAYAL SHARMA,Madhya_Pradesh,BHOPAL,INC,INC,122497,M,2,3,2,FALSE,TRUE,33.59,111334,30.53,,2,3
GEMP25141,5,0,1971,SHANKAR DAYAL SHARMA KHUSHILAL VAIDYA,Madhya_Pradesh,BHOPAL,INC,"",158805,M,1,3,2,FALSE,FALSE,50.88,31412,10.06,,2,3
GEMP25146,7,0,1980,RAGHAVJI,Madhya_Pradesh,VIDISHA,JNP,BLD,147602,M,2,2,1,TRUE,TRUE,42.02,112851,32.13,,1,2
GEMP25146,6,0,1977,RAGHAVJI,Madhya_Pradesh,VIDISHA,BLD,"",218276,M,1,2,1,FALSE,FALSE,64.97,123734,36.83,,1,2
GEMP25149,7,0,1980,PANDIT VASANT KUMAR RAM KRISHNA,Madhya_Pradesh,RAJGARH,JNP,BLD,161299,M,1,2,2,TRUE,TRUE,47.89,32979,9.79,,2,2
GEMP25149,6,0,1977,PANDIT VASHANT KUMAR RAM KRISHNA,Madhya_Pradesh,RAJGARH,BLD,"",226578,M,1,2,2,FALSE,FALSE,73.82,151535,49.37,,2,2
GEMP25157,7,0,1980,SUBHASH YADAV,Madhya_Pradesh,KHARGONE,INC(I),INC,180561,M,1,2,1,FALSE,FALSE,53.22,46583,13.73,,1,2
GEMP25157,6,0,1977,SUBHAS YADAW,Madhya_Pradesh,KHARGONE,INC,"",127976,M,2,2,1,FALSE,FALSE,39.88,115489,35.98,,1,2
GEMP25159,7,0,1980,RAMESHWAR PATIDAR,Madhya_Pradesh,KHARGONE,JNP,BLD,133978,M,2,2,1,TRUE,TRUE,39.49,113374,33.42,,1,2
GEMP25159,6,0,1977,RAMESHWAR PATIDAR,Madhya_Pradesh,KHARGONE,BLD,"",163834,M,1,2,1,FALSE,FALSE,51.05,35858,11.17,,1,2
GEMP25173,7,0,1980,KALYAN JAIN,Madhya_Pradesh,INDORE,JNP(S),BLD,26177,M,3,2,1,TRUE,TRUE,6.43,20508,5.04,,1,2
GEMP25173,6,0,1977,KALYAN JAIN,Madhya_Pradesh,INDORE,BLD,"",174278,M,1,2,1,FALSE,FALSE,49.55,36636,10.42,,1,2
GEMP25180,7,0,1980,DILEEP SINGH BHURIA,Madhya_Pradesh,JHABUA,INC(I),INC,155178,M,1,2,1,FALSE,FALSE,59.42,90136,34.52,,1,2
GEMP25180,6,0,1977,DILIP SINGH BHURIYA,Madhya_Pradesh,JHABUA,INC,"",91878,M,2,2,1,FALSE,FALSE,37.28,0,0,,1,2
GEMP25391,7,0,1980,CHHAVIRAM ARGAL,Madhya_Pradesh,MORENA,JNP,BLD,81783,M,2,2,1,TRUE,TRUE,30.65,15664,5.87,,1,2
GEMP25391,6,0,1977,CHHABIRAM ARGAL,Madhya_Pradesh,MORENA,BLD,"",172959,M,1,2,1,FALSE,FALSE,63.96,81304,30.06,,1,2
GEMP25393,7,0,1980,RAGHUBIR SINGH MACHHAND,Madhya_Pradesh,BHIND,JNP,BLD,83414,M,3,2,1,TRUE,TRUE,26.1,77291,24.19,,1,2
GEMP25393,6,0,1977,RAGHUBIR SINGH MACHHAND,Madhya_Pradesh,BHIND,BLD,"",241267,M,1,2,1,FALSE,FALSE,72.92,160894,48.63,,1,2
GEMP25401,7,0,1980,NARAYAN KRISHNARAO SHEJWALKAR,Madhya_Pradesh,GWALIOR,JNP,BLD,143616,M,1,2,2,TRUE,TRUE,44.89,25480,7.96,,2,2
GEMP25401,6,0,1977,NARAYAN KRISHNA SHEJWALKER,Madhya_Pradesh,GWALIOR,BLD,"",219838,M,1,2,2,FALSE,FALSE,67.36,152192,46.63,,2,2
GEMP29384,7,0,1980,BABULAL SOLANKI,Madhya_Pradesh,MORENA,INC(I),"",113837,M,1,1,1,FALSE,FALSE,42.67,32054,12.01,,1,1
GEMP29385,7,0,1980,DURGA PRASAD,Madhya_Pradesh,MORENA,JNP(S),"",66119,M,3,1,0,FALSE,FALSE,24.78,61070,22.89,,,1
GEMP29393,7,0,1980,KALICHARAN SHARMA,Madhya_Pradesh,BHIND,INC(I),"",105806,M,1,1,1,FALSE,FALSE,33.11,10036,3.14,,1,1
GEMP29397,7,0,1980,RAMA SHANKAR SINGH,Madhya_Pradesh,BHIND,JNP(S),"",95770,M,2,1,0,FALSE,FALSE,29.97,12356,3.87,,,1
GEMP29402,7,0,1980,VISHNUDUTTA TIWARI,Madhya_Pradesh,GWALIOR,JNP,"",36894,M,3,1,0,FALSE,FALSE,11.53,31002,9.69,,,1
GEMP29403,7,0,1980,RAJENDRA SINGH,Madhya_Pradesh,GWALIOR,INC(I),"",118136,M,2,1,0,FALSE,FALSE,36.92,81242,25.39,,,1
GEMP29410,7,0,1980,LAXMINARAYNA ASHARAM,Madhya_Pradesh,GUNA,JNP(S),"",47760,M,3,1,0,FALSE,FALSE,13.81,39877,11.53,,,1
GEMP29413,7,0,1980,NARESH JOHRI BALAKRAM,Madhya_Pradesh,GUNA,JNP,"",87050,M,2,1,0,FALSE,FALSE,25.17,39290,11.36,,,1
GEMP29415,7,0,1980,NARMADA PRASAD BABULAL,Madhya_Pradesh,SAGAR,JNP,"",119453,M,2,1,0,FALSE,FALSE,36.99,109598,33.94,,,1
GEMP29416,7,0,1980,GANESH BHAI AHIWAR,Madhya_Pradesh,SAGAR,INC(U),"",9855,M,3,1,0,FALSE,FALSE,3.05,7426,2.3,,,1
GEMP29420,7,0,1980,CHATURVEDI VIDYAWATI,Madhya_Pradesh,KHAJURAHO,INC(I),"",139246,F,1,1,1,FALSE,FALSE,40.25,46436,13.42,,1,1
GEMP29421,7,0,1980,GAYA PRASAD RAWAT,Madhya_Pradesh,KHAJURAHO,JNP(S),"",31615,M,3,1,0,FALSE,FALSE,9.14,13404,3.87,,,1
GEMP29428,7,0,1980,RUSIA SHIVKALI,Madhya_Pradesh,KHAJURAHO,INC(U),"",5967,F,10,1,0,FALSE,FALSE,1.72,3315,0.96,,,1
GEMP29430,7,0,1980,PRABHUNARAYAN RAMDHAN,Madhya_Pradesh,DAMOH,INC(I),"",161492,M,1,1,1,FALSE,FALSE,45.66,53525,15.13,,1,1
GEMP29433,7,0,1980,KUSUM-SINGH MEHDALE,Madhya_Pradesh,DAMOH,JNP(S),"",36827,F,3,1,0,FALSE,FALSE,10.41,25820,7.3,,,1
GEMP29648,7,0,1980,HOMI DAJI,Madhya_Pradesh,BHOPAL,CPI,CPI,24370,M,3,5,1,FALSE,FALSE,6.31,16039,4.15,,1,5
GEMP29648,6,0,1977,HOMI F. DAJI,Madhya_Pradesh,INDORE,CPI,CPI,29725,M,3,5,1,FALSE,FALSE,8.45,26444,7.52,,1,5
GEMP29648,5,0,1971,HOMI F. DAJI,Madhya_Pradesh,INDORE,CPI,IND,64430,M,3,5,1,FALSE,FALSE,21.22,60314,19.86,,1,5
GEMP29648,4,0,1967,H. DAJI,Madhya_Pradesh,INDORE,IND,IND,100350,M,2,5,1,FALSE,TRUE,32.54,32799,10.63,,1,5
GEMP29648,3,0,1962,HOMI DAJI,Madhya_Pradesh,INDORE,IND,"",95682,M,1,5,1,FALSE,FALSE,41.68,6293,2.74,,1,5
GEMP29662,7,0,1980,DHANNALAL,Madhya_Pradesh,VIDISHA,INC(U),"",6273,M,4,1,0,FALSE,FALSE,1.79,1441,0.41,,,1
GEMP29664,7,0,1980,PRATAPBHANU KRISHNAGOPAL,Madhya_Pradesh,VIDISHA,INC(I),"",152682,M,1,1,1,FALSE,FALSE,43.47,5080,1.45,,1,1
GEMP29680,7,0,1980,RATANSING,Madhya_Pradesh,KHARGONE,JNP(S),"",20604,M,3,1,0,FALSE,FALSE,6.07,16485,4.86,,,1
GEMP29682,7,0,1980,FATTUSINH S/O KALU,Madhya_Pradesh,DHAR,JNP(S),"",27369,M,3,1,0,FALSE,FALSE,8.22,24496,7.35,,,1
GEMP29685,7,0,1980,FATEHBHANUSINH S/O RAMSINH,Madhya_Pradesh,DHAR,INC(I),"",182764,M,1,1,1,FALSE,FALSE,54.86,62646,18.81,,1,1
GEMP29690,7,0,1980,SHEEL KUMAR NIGAM,Madhya_Pradesh,INDORE,JNP,"",146261,M,2,1,0,FALSE,FALSE,35.93,120084,29.5,,,1
GEMP29703,7,0,1980,SATYANARAYAN JATIYA,Madhya_Pradesh,UJJAIN,JNP,"",166978,M,1,1,1,FALSE,FALSE,46.59,11326,3.16,,1,1
GEMP29705,7,0,1980,SUJJAN SINGH VISHNAR,Madhya_Pradesh,UJJAIN,INC(I),"",155652,M,2,1,0,FALSE,FALSE,43.43,137988,38.5,,,1
GEMP29706,7,0,1980,SARDARSINGH GOUSAR,Madhya_Pradesh,UJJAIN,JNP(S),"",17664,M,3,1,0,FALSE,FALSE,4.93,12501,3.49,,,1
GEMP29715,7,0,1980,RAMPRATAP NIRBHERAM THANNA,Madhya_Pradesh,MANDSAUR,JNP(S),"",16452,M,3,1,0,FALSE,FALSE,3.66,3640,0.81,,,1
GEMP29716,7,0,1980,BHANWARLAL RAJMAL NAHATA,Madhya_Pradesh,MANDSAUR,INC(I),"",200193,M,1,1,1,FALSE,FALSE,44.54,2683,0.6,,1,1
GEMP29797,7,0,1980,GULSHER AHMED,Madhya_Pradesh,SATNA,INC(I),"",169514,M,1,1,1,FALSE,FALSE,45.27,52119,13.92,,1,1
GEMP29802,7,0,1980,SHAKTI PRASAD PANDEY,Madhya_Pradesh,SATNA,JNP(S),"",48039,M,3,1,0,FALSE,FALSE,12.83,32839,8.77,,,1
GEMP29807,7,0,1980,YAMUNA PRASAD SHASTRI,Madhya_Pradesh,REWA,JNP,BLD,55883,M,2,5,1,TRUE,TRUE,13.95,25256,6.3,,1,5
GEMP29807,6,0,1977,YAMMUNA PRASAD,Madhya_Pradesh,REWA,BLD,PSP,176634,M,1,5,1,TRUE,FALSE,48.14,6693,1.82,,1,5
GEMP29807,5,0,1971,YAMUNA PRASAD,Madhya_Pradesh,REWA,PSP,IND,15789,M,3,5,1,FALSE,FALSE,4.52,915,0.26,,1,5
GEMP29807,4,0,1967,J. PRASAD,Madhya_Pradesh,REWA,IND,JS,4089,M,7,5,1,FALSE,FALSE,1.28,0,0,,1,5
GEMP29807,3,0,1962,JAMUNA PRASAD,Madhya_Pradesh,BILASPUR,JS,"",52674,M,2,5,1,FALSE,FALSE,34.26,23420,15.23,,1,5
GEMP29808,7,0,1980,RAMSIYA SINGH,Madhya_Pradesh,REWA,JNP(S),"",30627,M,3,1,0,FALSE,FALSE,7.64,25346,6.33,,,1
GEMP29814,7,0,1980,SITA PRATAP SINGH,Madhya_Pradesh,SIDHI,JNP,"",72742,M,2,1,0,FALSE,FALSE,27.57,50832,19.26,,,1
GEMP29818,7,0,1980,MOTI LAL SINGH,Madhya_Pradesh,SIDHI,INC(I),"",143427,M,1,1,1,FALSE,FALSE,54.36,70685,26.79,,1,1
GEMP29819,7,0,1980,RANA DAMAN SINGH,Madhya_Pradesh,SIDHI,INC(U),"",13609,M,4,1,0,FALSE,FALSE,5.16,5471,2.07,,,1
GEMP29820,7,0,1980,DALBIR SINGH,Madhya_Pradesh,SHAHDOL,INC(I),"",126011,M,1,1,1,FALSE,FALSE,49.05,56484,21.99,,1,1
GEMP29828,7,0,1980,BHUNESHWAR SINGH,Madhya_Pradesh,SURGUJA,JNP(S),"",23108,M,3,1,0,FALSE,FALSE,9.18,3985,1.58,,,1
