pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
GEUP33320,8,0,1984,SANTOSH KUMAR GANGWAR,Uttar_Pradesh,BAREILLY,BJP,"",100996,M,2,1,0,FALSE,FALSE,29.59,66370,19.44,,8,10
GEUP33488,17,0,2019,MANEKA SANJAI GANDHI,Uttar_Pradesh,SULTANPUR,BJP,BJP,459196,F,1,10,8,FALSE,TRUE,45.91,14526,1.45,62,8,10
GEUP33488,16,0,2014,MANEKA SANJAY GANDHI,Uttar_Pradesh,PILIBHIT,BJP,BJP,546934,F,1,9,7,FALSE,TRUE,52.06,307052,29.23,57,8,10
GEUP33488,15,0,2009,MENKA GANDHI,Uttar_Pradesh,AONLA,BJP,BJP,216503,F,1,8,6,FALSE,TRUE,30.73,7681,1.09,52,8,10
GEUP33488,14,0,2004,MANEKA GANDHI,Uttar_Pradesh,PILIBHIT,BJP,IND,255615,F,1,7,5,FALSE,TRUE,37.75,102720,15.17,47,8,10
GEUP33488,13,0,1999,Maneka Gandhi,Uttar_Pradesh,PILIBHIT,IND,IND,433421,F,1,6,4,FALSE,TRUE,57.94,239855,32.07,,8,10
GEUP33488,12,0,1998,MANEKA GANDHI,Uttar_Pradesh,PILIBHIT,IND,JD,390381,F,1,5,3,FALSE,TRUE,55.99,211876,30.39,,8,10
GEUP33488,11,0,1996,MANEKA GANDHI,Uttar_Pradesh,PILIBHIT,JD,JP,395827,F,1,4,2,TRUE,FALSE,59.83,283310,42.82,,8,10
GEUP33488,10,0,1991,MANEKA GANDHI (W),Uttar_Pradesh,PILIBHIT,JP,JD,139710,F,2,3,1,TRUE,TRUE,29.4,63056,13.27,,8,10
GEUP33488,9,0,1989,MANEKA GANDHI,Uttar_Pradesh,PILIBHIT,JD,IND,269044,F,1,2,1,FALSE,FALSE,57.34,131220,27.97,,8,10
